"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Easy Run (RPE)","Run","","","","2026-04-07","","7980.0","","","","","0.9166666666666666","2.4213075060532687","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run (Bellow VT1/LT1)","Run","","","","2026-04-11","","15090.0","","","","","1.5002777777777778","2.8011204481792715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruise Intervals Run 4/2*5 (POWE","Run","","","","2026-04-13","","9140.0","","","","","0.9175","2.770083102493075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run (RPE)","Run","","","","2026-04-14","","5470.0","","","","","0.6669444444444445","2.277904328018223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6km Easy Run","Run","6km easy run at a conversational pace (no faster than 5:50/km)","","","2026-04-17","","8000.0","","","","","0.8230555555555555","2.7027027027027026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy + Strides","Run","2km warm up at a conversational pace (no faster than 5:50/km), relaxed and easy!","","","2026-04-22","","6010.0","","","","","0.6316666666666667","2.6455026455026456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Momentum Maintenance • 55m - 65m","Strength","Full Body • 55m - 65m 2 sets of: • Step Up • Travelling Press Up Walk out • Squat to Calf Raise • Bear Crawl 2 sets of: • Full Star Jumps • Walking Lunge 1 set of: • Pogo Jumps 2 sets of: • Single Leg Straight Leg Deadlift with Knee Drive • Long Lever Copenhagen Plank 2 sets of: • Step Down • Plank 2 sets of: • Loaded Walking Calf Raises • Shoulder-Focused Press Ups 2 sets of: • Press Up • Glute Bridge 2 sets of: • Side Plank • Squat Thrusts","1.0","","2026-04-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7km Easy Run • 7km","Run","Easy Run • 7km • 35m - 45m 7km easy run at a conversational pace (no faster than 5:50/km)","0.6666666666666666","7000.0","2026-04-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilates Session 2 • 30m","Custom","Pilates • 30m Today’s class focuses on lower body strength and control. We’ll move through grounded flows that fire up your glutes, legs, and hips, while keeping the core engaged and stable. Every movement connects to breath and control. A great one for cross-training and improving lower-body alignment. You'll need a mat, or a soft surface.","0.5","","2026-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Light Legs\, Strong Core • 55m - 65m","Strength","Legs And Core • 55m - 65m 2 sets of: • Toe Walks • Glute Bridge into Hamstring Walkout • Side Lunge • Clam Shells 2 sets of: • Bent Knee Calf Raise • Hamstring Walkout 1 set of: • Hurdle Hops 2 sets of: • Bodyweight Squat • Press-Up Position with Single Arm Extensions 2 sets of: • Single Leg Straight Leg Deadlift • Short Lever Copenhagen Plank 2 sets of: • Single Leg Glute Bridge • Knee Drive 2 sets of: • Figure of 8s • Hip Drop","1.0","","2026-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stretch & Stability Session 2 • 25m","Custom","Stretch • 25m Get ready to fire up your core, mobilize your spine, and unlock your hips. A smooth flow to build postural strength and ease tight spots. Perfect as a reset after a long day, or a light flush post-run. You'll leave this one standing taller and breathing deeper. No wall or equipment needed.","0.4166666666666667","","2026-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mile Up & Overs • 7.1km","Run","Intervals • 7.1km • 45m - 50m 1.5km warm up at a conversational pace (no faster than 5:45/km), 90s walking rest Repeat the following 3x: ---------- 400m at 5:55/km 400m at 4:45/km 400m at 5:55/km 400m at 4:45/km 120s walking rest ---------- 800m cool down at a conversational pace (or slower!)","0.7916666666666666","7100.0","2026-04-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lower Body Endurance Session • 55m - 65m","Strength","Legs And Core • 55m - 65m 2 sets of: • Glute Bridge into Hamstring Walkout • Press Up Position Walk Out • Bodyweight Squat • Clam Shells 3 sets of: • Single Leg Glute Bridge 3 sets of: • Rear Leg Raised Lunge 3 sets of: • Knee Drive • Hamstring Walkout 3 sets of: • Glute Bridge • Hip Drop 3 sets of: • Single Leg Calf Raise • Step Up and Knee Drive 3 sets of: • Side Plank Leg Raise • Plank Twist 3 sets of: • Bear Crawl • Side Plank","1.0","","2026-04-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Upper Endurance Workout • 55m - 65m","Strength","Upper And Core • 55m - 65m 2 sets of: • Floating Heel Drop • Step Up • Walking Lunge • Side Leg Swings 3 sets of: • Shoulder-Focused Press Ups 3 sets of: • Superman 3 sets of: • Press Up • Knee Drive 3 sets of: • Tricep Dip • Russian Twist 3 sets of: • Long Lever Copenhagen Plank • Press Up Position Diagonal Toe Tap 3 sets of: • Back Extension • Press-Up Position with Single Arm Extensions 3 sets of: • Full Star Jumps • Figure of 8s","1.0","","2026-04-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7km Easy Run • 7km","Run","Easy Run • 7km • 35m - 45m 7km easy run at a conversational pace (no faster than 5:45/km)","0.6666666666666666","7000.0","2026-04-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Full Body Endurance Workout • 55m - 65m","Strength","Full Body • 55m - 65m 3 sets of: • Toe Walks • Travelling Press Up Walk out • Fire Hydrants • Diagonal Toe Tap 3 sets of: • Rear Leg Raised Lunge 3 sets of: • Press Up 3 sets of: • Loaded Walking Calf Raises • Squat Thrusts 3 sets of: • Tricep Dip • Lateral Walk 3 sets of: • Single Leg Straight Leg Deadlift • Press Up Position Shoulder Tap 3 sets of: • Superman • Step Down 3 sets of: • Side Plank with Hip Flexion • Double Leg Skipping","1.0","","2026-04-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12km Long Run • 12km","Run","Long Run • 12km • 1h0m - 1h10m 2km at a comfortable pace 10km at 5:30/km","1.0833333333333333","12000.0","2026-05-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilates Session 3 • 30m","Custom","Pilates • 30m This session is all about pelvic stability—a game-changer for runners and anyone dealing with hip or lower back tension. We’ll explore neutral pelvis alignment, breath-led core work, and small but powerful movements to stabilize your ""powerhouse"" center. Expect to move slow, stay focused, and build from the inside out. Remember to grab a mat or something soft to move on.","0.5","","2026-05-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Full Body Supersets • 55m - 65m","Strength","Full Body • 55m - 65m 3 sets of: • Toe Scrunches • Press Up Position Diagonal Toe Tap • Squat to Calf Raise • Mountain Climber 3 sets of: • Lateral Walk • Military Press Up 3 sets of: • Rear Leg Raised Lunge • Back Extension 3 sets of: • Single Leg Glute Bridge • Bent Knee Calf Raise 3 sets of: • Single Leg Isometric Hamstring Holds • Shoulder-Focused Press Ups 3 sets of: • Short Lever Copenhagen Plank • Plank 3 sets of: • Step Down • Lunge Hold Calf Raise","1.0","","2026-05-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stretch & Stability Session 3 • 25m","Custom","Stretch • 25m This flow is designed to mobilize your spine, unlock your hips, and strengthen your lower legs. Gentle but focused movements to prep your body for the miles of running ahead. It’s a good one to revisit on rest days too. Give your joints some space to move freely again. No wall or equipment needed.","0.4166666666666667","","2026-05-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
